x,y-3,y-2,y-1,y0,y1,y2,y3
0.3903381653758861,0.03038463470671575,0.03359717951147838,0.03690251369734244,0.04029291529020869,0.04376112683611628,0.04730033149486971,0.0509041296134363
0.3934860538063368,0.030255852458334214,0.033458230704993576,0.03675349263062943,0.04013393850098534,0.04359232947642787,0.04712186419274625,0.050716155754271845
0.3966339422367875,0.030126040136344776,0.033318168005425614,0.03660327421589256,0.03997368146070196,0.04342216967536748,0.04694195310931195,0.05052665774161842
0.39978183066723816,0.02999519899838363,0.03317699265508041,0.036451859665793715,0.03981214533858668,0.04325064854551752,0.04676059928790699,0.05033563653761692
0.4029297190976889,0.02986333036606086,0.03303470596169696,0.036299250259553884,0.03964933137123941,0.04307776726735126,0.046577803840006725,0.05014309317253169
0.4060776075281396,0.029730435626732877,0.0328913093002644,0.03614544734480843,0.039485240864519176,0.04290352709114633,0.046393567947156766,0.04994902874670222
0.40922549595859026,0.029596516235311482,0.03274680411487648,0.03599045233949972,0.039319875195469006,0.04272792933893682,0.04620789286294647,0.04975344443253349
0.412373384389041,0.029461573716110523,0.032601191920624155,0.035834266733808906,0.03915323581428055,0.04255097540650458,0.04602077991502229,0.04955634147652672
0.41552127281949164,0.02932560966473082,0.03245447430552677,0.03567689209212677,0.03898532424629805,0.0423726667654108,0.04583223050714126,0.04935772120134974
0.41866916124994236,0.029188625749983765,0.03230665293250293,0.0355183300550646,0.038816142094063005,0.04219300496506828,0.04564224612126594,0.049157585007949874
0.421817049680393,0.029050623715855057,0.032157729541382234,0.03535858234150637,0.0386456910394003,0.04201199163485573,0.045450828319701146,0.048955934377707816
0.42496493811084374,0.028911605383508725,0.03200770595095751,0.035197650750702386,0.038473972845546246,0.04182962848627417,0.04525797874727321,0.04875277087463518
0.42811282654129446,0.02877157265333282,0.03185658406107969,0.03503553716440561,0.03830098935932004,0.04164591731514718,0.04506369913355344,0.04854809614761585
0.4312607149717451,0.028630527507027024,0.03170436585479529,0.034872243549051635,0.03812674251333866,0.04146086000386497,0.044867991295125635,0.048341911932691585
0.43440860340219584,0.02848847200973367,0.031551053400527815,0.03470777195798246,0.037951234328276996,0.04127445852367376,0.04467085713789909,0.04813422005539377
0.4375564918326465,0.028345408312212748,0.03139664885430373,0.03454212453371619,0.03777446691517345,0.041086714937011236,0.044472298659467946,0.04792502243312097
0.4407043802630972,0.028201338653061507,0.03124115446202421,0.034375303510262335,0.037596442477781794,0.0408976313998886,0.044272317951517516,0.047714321077564265
0.4438522686935479,0.02805626536098017,0.03108457256178299,0.03420731121548426,0.03741716331497105,0.04070721016432094,0.04407091720227897,0.04750211809718103
0.4470001571239986,0.02791019085708427,0.03092690558623214,0.03403815007350985,0.037236631823173404,0.040515453580805785,0.04386809869903294,0.047288415699717375
0.4501480455544493,0.027763117657264694,0.030768156064995725,0.03386782260719093,0.037054850498881825,0.04032236410085222,0.04366386483066305,0.04707321619478136
0.4532959339849,0.027615048374596485,0.030608326627133507,0.03369633144061265,0.03687182194119795,0.04012794427956004,0.043458218090260854,0.04685652199646726
0.4564438224153507,0.027465985721797065,0.03044742000365413,0.0335236793016539,0.03668754885443122,0.0399321967782508,0.043251161077782235,0.046638335626031736
0.45959171084580136,0.027315932513735576,0.030285439030080522,0.033349869024599604,0.03650203405075093,0.03973512436715227,0.0430426965027574,0.04641865971462393
0.4627395992762521,0.027164891669993464,0.03012238664906751,0.033174903552806195,0.03631528045289098,0.03953672992813577,0.042832827187054674,0.04619749700606908
0.46588748770670274,0.02701286621747828,0.0299582659130726,0.03299878594142121,0.0361272910969103,0.03933701645750932,0.042621556067699545,0.04597485035970798
0.46903537613715346,0.026859859293091162,0.02979307998708185,0.03282151936015775,0.03593806913500779,0.039135987068866146,0.04240888619975027,0.0457507227532932
0.4721832645676042,0.026705874146449236,0.029626832151391225,0.03264310709612553,0.03574761783839489,0.03893364499599089,0.04219482075923032,0.04552511728594199
